interaction_id,event_ts,customer_id,property_id,interaction_type,device,source,session_minutes,intent_sentiment
I000025633,2024-03-29,C006648,P002486,Inquiry,Mobile,App,7.5,0.086
I000025634,2024-07-06,C005062,P003852,Save,Mobile,Web,10.3,
I000025635,2024-08-20,C007581,P000249,View,Mobile,App,6.4,
I000025636,2023-02-26,C000544,P002122,View,Mobile,Web,3.0,
I000025637,2022-09-15,C007525,P004327,View,Desktop,Web,7.7,
I000025638,2023-05-21,C007502,P001976,View,Mobile,Web,3.0,
I000025639,2024-01-19,C007873,P000218,Inquiry,Mobile,Web,3.7,0.897
I000025640,2022-05-13,C001251,P000676,Save,Desktop,App,7.9,
I000025641,2024-09-10,C007016,P001373,View,Mobile,App,3.9,
I000025642,2024-08-09,C005503,P002969,Call,Desktop,Web,3.7,-0.556
I000025643,2024-07-23,C002671,P000801,Call,Mobile,App,7.1,0.868
I000025644,2024-11-22,C004742,P002621,Inquiry,Mobile,Web,7.9,0.35
I000025645,2023-12-04,C005200,P003443,Call,Mobile,Web,3.9,0.49
I000025646,2024-10-02,C002853,P000503,View,Mobile,Web,12.9,
I000025647,2023-09-13,C002961,P000131,Call,Mobile,Web,6.1,0.056
I000025648,2023-02-11,C002044,P001345,View,Desktop,App,6.4,
I000025649,2024-08-31,C004223,P003127,View,Mobile,Web,8.1,
I000025650,2023-04-27,C000887,P000123,Visit,Mobile,Web,8.8,0.796
I000025651,2024-12-02,C004662,P000349,Visit,Mobile,Web,4.6,0.063
I000025652,2023-09-04,C001459,P001417,View,Mobile,Web,6.7,
I000025653,2022-06-06,C007882,P003217,View,Mobile,App,5.9,
I000025654,2023-07-05,C005697,P000280,Visit,Mobile,Web,4.4,0.092
I000025655,2022-11-17,C007807,P002555,Call,Mobile,App,6.2,0.469
I000025656,2023-05-24,C000647,P001598,Call,Mobile,App,7.1,
I000025657,2023-04-17,C002121,P001792,View,Desktop,App,9.8,
I000025658,2024-10-18,C004382,P002833,Visit,Mobile,Web,7.1,1.0
I000025659,2024-07-15,C004733,P004194,Call,Mobile,Web,10.3,0.428
I000025660,2024-07-04,C006066,P004306,View,Mobile,Web,5.2,
I000025661,2024-09-22,C005012,P002794,View,Mobile,Web,4.0,
I000025662,2023-12-09,C004483,P001690,Inquiry,Mobile,Web,3.8,0.185
I000025663,2024-03-01,C005238,P004026,View,Mobile,App,6.0,
I000025664,2025-01-29,C004585,P000295,Inquiry,Mobile,App,10.4,0.275
I000025665,2023-12-16,C004903,P004423,Visit,Mobile,Web,6.4,0.252
I000025666,2024-02-08,C006348,P004466,View,Mobile,App,6.2,
I000025667,2024-12-06,C003570,P000349,Call,Mobile,App,9.9,0.456
I000025668,2023-07-29,C003914,P000348,View,Mobile,App,17.4,
I000025669,2022-10-07,C005600,P003916,View,Mobile,Web,5.6,
I000025670,2022-09-01,C002642,P003947,Save,Mobile,App,11.1,
I000025671,2025-01-03,C007912,P001274,View,Mobile,App,8.7,
I000025672,2025-02-20,C007311,P003074,Visit,Mobile,App,3.8,0.254
I000025673,2024-03-29,C000094,P003693,View,Mobile,App,2.5,
I000025674,2024-05-14,C003700,P003596,Inquiry,Desktop,Web,12.3,0.698
I000025675,2022-12-28,C001111,P000264,Visit,Mobile,Web,5.3,0.781
I000025676,2023-09-05,C004227,P003167,Offer,Mobile,Web,9.9,0.632
I000025677,2024-08-12,C002826,P003608,View,Mobile,App,4.5,
I000025678,2023-01-02,C006414,P002753,View,Desktop,App,3.8,
I000025679,2024-09-29,C003610,P000877,View,Mobile,Web,3.3,
I000025680,2025-02-27,C003560,P002784,View,Mobile,App,2.5,
I000025681,2024-12-29,C001816,P000532,Call,Desktop,Web,8.2,0.573
I000025682,2023-11-07,C003108,P001540,Call,Mobile,App,6.9,0.155
I000025683,2024-11-26,C003303,P001692,View,Mobile,Web,5.2,
I000025684,2023-10-05,C001978,P004178,Inquiry,Mobile,Web,4.1,0.257
I000025685,2024-07-04,C004739,P000363,Inquiry,Mobile,App,5.6,-0.467
I000025686,2024-07-23,C007491,P003896,View,Mobile,Web,4.9,
I000025687,2024-01-06,C000541,P000207,Inquiry,Mobile,Web,5.3,0.238
I000025688,2025-01-02,C004642,P003455,View,Mobile,App,45.4,
I000025689,2024-06-26,C003159,P003386,View,Desktop,App,7.9,
I000025690,2024-11-21,C005331,P004415,View,Mobile,App,16.3,
I000025691,2022-12-21,C001276,P001834,View,Mobile,Web,11.3,
I000025692,2023-03-11,C001327,P001736,Inquiry,Mobile,Web,2.2,0.034
I000025693,2023-11-19,C001396,P004257,Inquiry,Desktop,Web,10.0,
I000025694,2024-08-06,C001294,P004161,View,Mobile,Web,5.1,
I000025695,2024-12-16,C004482,P000253,View,Desktop,Web,11.7,
I000025696,2023-08-06,C007827,P001854,View,Mobile,App,12.4,
I000025697,2024-08-02,C003784,P002315,Save,Mobile,Web,5.2,
I000025698,2023-12-07,C005615,P003510,Save,Mobile,Web,5.4,
I000025699,2024-01-04,C001975,P001636,View,Desktop,App,15.6,
I000025700,2023-05-25,C004331,P000712,Call,Mobile,Web,5.5,0.461
I000025701,2025-02-19,C006297,P003527,Call,Mobile,Web,6.7,0.259
I000025702,2022-07-24,C001728,P001499,View,Mobile,Web,5.7,
I000025703,2024-10-03,C003628,P002925,View,Mobile,Web,6.5,
I000025704,2024-11-05,C001863,P003835,View,Mobile,Web,6.2,
I000025705,2023-10-23,C002431,P000810,Visit,Mobile,Web,8.9,0.72
I000025706,2023-12-02,C001910,P000604,View,Mobile,App,4.1,
I000025707,2024-03-22,C002505,P000130,Inquiry,Mobile,Web,9.2,0.777
I000025708,2024-01-24,C005009,P002460,View,Mobile,Web,13.6,
I000025709,2025-01-25,C004868,P001176,Inquiry,Mobile,Web,4.0,0.284
I000025710,2024-10-27,C003102,P001814,View,Mobile,App,7.1,
I000025711,2024-01-10,C006258,P000978,Inquiry,Desktop,Web,6.3,0.267
I000025712,2025-02-03,C003191,P001645,Call,Desktop,App,9.8,
I000025713,2024-03-09,C002580,P002432,View,Mobile,Web,7.6,
I000025714,2024-12-13,C006417,P003966,View,Mobile,Web,3.0,
I000025715,2023-09-05,C002921,P004330,Inquiry,Mobile,Web,6.6,0.352
I000025716,2024-10-23,C007279,P000831,Visit,Mobile,Web,8.9,
I000025717,2024-12-25,C007338,P000527,View,Mobile,Web,1.9,
I000025718,2022-11-23,C003297,P000330,Visit,Mobile,Web,6.0,0.391
I000025719,2023-02-20,C007790,P000728,Inquiry,Mobile,App,3.0,0.646
I000025720,2023-12-25,C004765,P000771,View,Mobile,Web,8.8,
I000025721,2024-07-31,C007826,P004114,Call,Mobile,App,6.7,0.584
I000025722,2024-05-21,C000348,P002991,Inquiry,Mobile,Web,4.6,0.622
I000025723,2024-02-22,C004492,P000175,View,Mobile,App,14.5,
I000025724,2022-09-06,C006370,P004377,Call,Mobile,Web,4.4,0.932
I000025725,2024-03-03,C002090,P003521,Inquiry,Desktop,App,4.1,-0.068
I000025726,2024-11-15,C005317,P001567,View,Desktop,App,5.5,
I000025727,2023-07-26,C003630,P002261,View,Desktop,Web,6.8,
I000025728,2023-02-01,C004658,P000833,View,Mobile,Web,5.1,
I000025729,2024-04-01,C000886,P003790,Save,Mobile,Web,11.8,
I000025730,2024-10-03,C004933,P000372,View,Mobile,Web,9.7,
I000025731,2024-04-30,C000017,P003969,View,Desktop,App,3.6,
I000025732,2024-08-21,C004005,P004396,Call,Desktop,App,6.6,0.279
I000025733,2022-12-01,C006134,P001510,View,Desktop,Web,8.8,
I000025734,2023-10-07,C007011,P001176,Call,Mobile,Web,3.4,0.661
I000025735,2023-12-17,C006788,P002841,View,Mobile,Web,10.4,
I000025736,2023-09-18,C007202,P002206,Inquiry,Mobile,App,4.3,0.795
I000025737,2024-04-17,C000363,P002087,View,Mobile,App,2.1,
I000025738,2023-04-09,C005015,P001087,View,Desktop,Web,9.3,
I000025739,2022-09-15,C007631,P002350,View,Mobile,Web,6.6,
I000025740,2024-04-29,C003620,P001544,View,Desktop,App,11.0,
I000025741,2024-07-27,C000459,P001451,Save,Mobile,Web,6.3,
I000025742,2022-10-21,C007958,P003781,Inquiry,Desktop,Web,14.4,-0.578
I000025743,2023-05-06,C000510,P003498,Save,Mobile,App,8.0,
I000025744,2024-05-24,C000178,P003587,View,Mobile,Web,5.9,
I000025745,2024-05-19,C002964,P003137,Save,Mobile,Web,8.6,
I000025746,2023-07-07,C000203,P002977,View,Desktop,Web,10.2,
I000025747,2023-12-26,C001872,P001400,View,Mobile,Web,5.3,
I000025748,2024-07-27,C002503,P003906,Inquiry,Mobile,Web,2.6,-0.035
I000025749,2023-05-09,C002791,P002158,Inquiry,Desktop,Web,7.2,0.189
I000025750,2024-08-29,C005770,P004291,View,Mobile,App,6.0,
I000025751,2024-08-13,C000758,P003637,View,Mobile,Web,8.2,
I000025752,2024-06-08,C004653,P002538,View,Mobile,Web,8.9,
I000025753,2024-01-13,C002075,P001967,Inquiry,Mobile,App,9.3,-0.02
I000025754,2023-08-19,C004738,P000297,View,Mobile,Web,13.1,
I000025755,2022-05-23,C007799,P004053,Call,Mobile,Web,5.2,0.349
I000025756,2023-06-07,C007980,P003639,View,Mobile,Web,5.5,
I000025757,2024-03-28,C004081,P001781,Inquiry,Desktop,App,4.6,0.686
I000025758,2025-02-18,C006563,P003151,Call,Mobile,App,7.0,0.627
I000025759,2023-06-17,C000200,P000470,View,Desktop,App,5.7,
I000025760,2024-01-22,C003641,P000189,View,Mobile,App,10.9,
I000025761,2024-05-10,C007627,P003813,Save,Mobile,Web,10.7,
I000025762,2024-07-22,C000755,P000039,View,Mobile,Web,13.2,
I000025763,2024-04-16,C006958,P001170,View,Desktop,Web,2.7,
I000025764,2023-05-10,C007865,P004490,Save,Mobile,Web,17.6,
I000025765,2024-12-27,C000450,P001068,Visit,Mobile,App,10.5,0.147
I000025766,2024-04-25,C003315,P003940,View,Mobile,Web,9.2,
I000025767,2024-07-06,C002073,P002136,Call,Desktop,App,5.9,0.736
I000025768,2022-09-26,C005663,P003537,View,Mobile,Web,2.8,
I000025769,2024-05-14,C004718,P004069,View,Desktop,App,4.4,
I000025770,2024-04-23,C004380,P002372,View,Mobile,Web,6.7,
I000025771,2024-09-26,C001781,P002967,View,Mobile,Web,14.6,
I000025772,2024-08-29,C005162,P000410,Offer,Mobile,Web,20.5,-0.015
I000025773,2024-04-13,C003256,P001330,Save,Mobile,Web,7.4,
I000025774,2024-05-24,C007839,P002545,Call,Mobile,Web,4.3,0.256
I000025775,2024-12-27,C004808,P003940,View,Mobile,Web,5.2,
I000025776,2023-07-14,C006021,P003957,Save,Mobile,App,5.0,
I000025777,2024-07-17,C006895,P000813,View,Mobile,App,5.3,
I000025778,2024-01-30,C003110,P002604,Call,Desktop,Web,5.8,0.2
I000025779,2024-08-20,C006175,P001446,View,Mobile,Web,6.0,
I000025780,2024-11-29,C005090,P000456,View,Mobile,Web,5.3,
I000025781,2023-10-12,C003975,P000670,Call,Mobile,Web,12.4,0.542
I000025782,2022-12-16,C001251,P004315,View,Desktop,Web,2.9,
I000025783,2023-11-02,C001328,P000989,Save,Mobile,Web,12.8,
I000025784,2024-04-23,C003309,P002908,Save,Mobile,App,6.5,
I000025785,2023-10-28,C003215,P001045,Save,Mobile,Web,16.4,
I000025786,2024-07-09,C002258,P001905,View,Mobile,Web,8.1,
I000025787,2024-12-25,C001108,P003843,View,Mobile,App,11.3,
I000025788,2023-04-12,C000510,P000323,Call,Mobile,Web,9.4,0.161
I000025789,2023-08-14,C002761,P004047,Call,Mobile,Web,19.8,0.884
I000025790,2024-08-11,C001759,P002347,View,Mobile,App,10.9,
I000025791,2024-12-18,C005003,P004423,View,Mobile,App,2.8,
I000025792,2024-05-08,C003298,P001762,Inquiry,Mobile,App,3.3,0.451
I000025793,2023-06-01,C005288,P001825,Call,Mobile,Web,7.3,
I000025794,2023-02-08,C006392,P001237,Call,Mobile,Web,6.0,0.496
I000025795,2023-11-16,C005897,P003980,View,Mobile,App,4.7,
I000025796,2023-12-22,C007875,P000752,View,Mobile,Web,20.8,
I000025797,2022-12-28,C001377,P001416,View,Mobile,App,2.4,
I000025798,2022-09-16,C001028,P001752,Inquiry,Mobile,Web,18.5,0.524
I000025799,2023-09-14,C007063,P002263,View,Mobile,App,8.9,
I000025800,2024-06-16,C005587,P001369,Call,Mobile,Web,10.1,
I000025801,2024-08-05,C005313,P001578,View,Mobile,Web,4.1,
I000025802,2023-12-06,C001213,P000427,View,Mobile,App,7.8,
I000025803,2023-07-18,C004527,P002205,View,Mobile,App,7.0,
I000025804,2024-05-03,C005761,P001086,Inquiry,Desktop,App,12.3,0.324
I000025805,2022-11-07,C000532,P001835,Inquiry,Mobile,App,16.2,0.311
I000025806,2023-07-18,C001169,P003807,Inquiry,Mobile,Web,11.9,0.59
I000025807,2023-09-18,C005994,P001230,Visit,Mobile,App,8.5,
I000025808,2024-11-23,C005766,P004329,Inquiry,Mobile,Web,5.4,0.321
I000025809,2024-04-08,C003671,P000997,View,Mobile,Web,3.3,
I000025810,2023-12-30,C004988,P000725,Call,Mobile,App,11.2,
I000025811,2024-12-08,C007957,P001659,Inquiry,Desktop,Web,15.4,0.375
I000025812,2024-05-20,C007685,P001999,Call,Mobile,App,5.3,-0.028
I000025813,2024-11-15,C000317,P003938,View,,Web,7.4,
I000025814,2024-10-03,C000433,P001316,View,Mobile,App,6.7,
I000025815,2024-03-07,C000301,P000818,View,Mobile,App,6.1,
I000025816,2024-03-09,C007205,P003216,Visit,Mobile,App,5.2,0.665
I000025817,2024-09-22,C005412,P002064,Call,Desktop,Web,2.9,-0.115
I000025818,2023-11-03,C005051,P000700,View,Mobile,App,8.6,
I000025819,2023-09-06,C001061,P000604,Call,Mobile,App,14.0,-0.071
I000025820,2024-07-25,C005178,P000291,Call,Mobile,Web,4.3,
I000025821,2024-06-20,C002180,P000344,Call,Mobile,Web,15.5,-0.455
I000025822,2022-11-20,C003477,P000332,View,Mobile,App,4.6,
I000025823,2024-06-20,C002587,P002790,Inquiry,Mobile,App,3.7,
I000025824,2024-08-31,C005427,P002012,Inquiry,Desktop,App,2.9,0.495
I000025825,2024-07-28,C004500,P002536,Call,Mobile,App,7.0,0.573
I000025826,2023-05-29,C000224,P003676,Inquiry,Mobile,App,5.1,0.12
I000025827,2023-07-12,C004149,P003761,View,Mobile,App,8.0,
I000025828,2023-03-26,C000474,P002757,View,Mobile,App,9.8,
I000025829,2024-08-28,C006111,P000398,View,Desktop,App,7.7,
I000025830,2024-01-20,C001716,P002004,Visit,Mobile,Web,6.0,0.252
I000025831,2024-09-29,C004850,P001973,View,Mobile,App,4.9,
I000025832,2024-11-03,C002728,P000765,Save,Mobile,App,9.8,
I000025833,2024-12-06,C007085,P001851,View,Mobile,Web,5.2,
I000025834,2024-08-15,C004808,P002245,Offer,Mobile,Web,7.7,0.207
I000025835,2024-05-26,C006014,P003532,Call,Desktop,App,8.8,0.764
I000025836,2024-05-18,C001366,P003654,View,Desktop,Web,13.3,
I000025837,2024-12-16,C006237,P003982,View,Mobile,Web,5.7,
I000025838,2023-08-31,C007599,P001220,Call,Mobile,App,19.5,
I000025839,2024-04-11,C004455,P002478,View,Mobile,Web,3.1,
I000025840,2023-12-29,C007302,P000688,Save,Mobile,Web,6.2,
I000025841,2024-07-21,C007292,P001836,Save,Desktop,App,5.3,
I000025842,2024-09-30,C001398,P002366,View,Mobile,Web,13.0,
I000025843,2022-11-04,C007168,P003940,Visit,Desktop,Web,11.4,0.222
I000025844,2023-11-04,C000815,P000223,View,Mobile,Web,7.8,
I000025845,2024-09-27,C000470,P004273,Visit,Desktop,Web,8.3,0.579
I000025846,2025-02-15,C003238,P001015,Visit,Mobile,App,7.9,-0.109
I000025847,2022-04-23,C006171,P000393,View,Desktop,App,4.2,
I000025848,2024-07-02,C007635,P002915,Save,Mobile,Web,11.5,
I000025849,2025-03-14,C006949,P003662,Save,Desktop,Web,9.1,
I000025850,2024-08-18,C000949,P003429,Save,Desktop,Web,2.7,
I000025851,2022-10-22,C003073,P001869,View,Mobile,Web,11.0,
I000025852,2024-05-14,C005574,P000753,Inquiry,Mobile,Web,12.9,0.517
I000025853,2023-10-19,C004898,P000468,Visit,Desktop,App,11.3,0.187
I000025854,2024-01-18,C000872,P003851,View,Mobile,Web,8.8,
I000025855,2024-07-03,C001715,P003880,View,Mobile,Web,6.9,
I000025856,2023-10-03,C001401,P001389,View,Mobile,App,15.1,
I000025857,2023-04-07,C004477,P002867,View,Desktop,Web,12.4,
I000025858,2022-11-27,C004824,P003457,Visit,Desktop,App,11.5,0.364
I000025859,2024-01-31,C002578,P003296,Save,Mobile,App,7.7,
I000025860,2022-10-04,C004750,P004101,Visit,Mobile,Web,7.8,0.216
I000025861,2023-07-25,C004435,P002635,Inquiry,Mobile,App,15.7,0.148
I000025862,2024-10-09,C003179,P001186,Call,Desktop,Web,5.4,0.5
I000025863,2023-09-05,C004543,P002061,Call,Mobile,Web,15.5,0.65
I000025864,2023-07-04,C002142,P004165,View,Desktop,Web,4.7,
I000025865,2024-03-20,C002504,P004211,View,Mobile,App,7.7,
I000025866,2022-09-22,C006304,P003826,View,Desktop,Web,10.9,
I000025867,2024-09-09,C006340,P003196,Visit,Mobile,Web,7.3,0.274
I000025868,2025-02-07,C000323,P001789,Call,Mobile,Web,5.7,0.159
I000025869,2025-01-29,C000737,P000620,Call,Desktop,Web,10.2,0.11
I000025870,2024-01-30,C004155,P000646,View,Mobile,App,8.1,
I000025871,2024-10-24,C002645,P001059,View,Mobile,App,4.1,
I000025872,2023-06-20,C005559,P001380,Call,Desktop,Web,13.9,-0.093
I000025873,2023-10-09,C000388,P003441,View,Mobile,App,3.6,
I000025874,2023-03-05,C001391,P003514,Visit,Mobile,App,10.1,0.635
I000025875,2023-03-17,C004345,P004258,Save,Mobile,Web,8.6,
I000025876,2023-02-02,C007292,P001571,View,Mobile,Web,8.4,
I000025877,2024-04-14,C004889,P001983,Save,Mobile,Web,6.1,
I000025878,2023-03-24,C001182,P003423,View,Mobile,Web,16.1,
I000025879,2023-11-01,C000835,P001089,View,Desktop,App,6.2,
I000025880,2024-01-06,C006967,P001846,Inquiry,Desktop,Web,11.3,
I000025881,2024-05-24,C007526,P000075,View,Mobile,App,4.6,
I000025882,2024-07-15,C000805,P002563,View,Desktop,App,11.4,
I000025883,2023-12-17,C000782,P001457,View,Mobile,App,13.4,
I000025884,2024-12-05,C005980,P000617,Inquiry,Desktop,Web,6.7,0.665
I000025885,2024-08-26,C004714,P002424,Visit,Desktop,Web,8.1,0.374
I000025886,2023-12-14,C004329,P004040,View,Mobile,Web,5.4,
I000025887,2024-04-04,C004114,P001649,View,Desktop,Web,6.4,
I000025888,2024-09-25,C003759,P004406,View,Mobile,App,5.2,
I000025889,2024-10-09,C004324,P002286,Inquiry,Mobile,App,4.3,0.09
I000025890,2024-02-22,C007674,P001965,View,Mobile,Web,14.6,
I000025891,2023-05-06,C000172,P001814,View,Mobile,Web,8.0,
I000025892,2024-11-22,C003910,P003188,View,Mobile,App,4.5,
I000025893,2023-11-23,C002804,P001000,View,Mobile,App,17.0,
I000025894,2023-04-03,C002460,P003257,View,Mobile,Web,16.0,
I000025895,2024-06-01,C000147,P000727,Save,Mobile,Web,7.8,
I000025896,2024-03-29,C002282,P004327,View,Mobile,Web,17.7,
I000025897,2024-08-03,C002133,P001209,Save,Mobile,App,5.2,
I000025898,2024-04-04,C001303,P000467,Call,,Web,14.4,0.193
I000025899,2024-10-25,C005124,P000757,Inquiry,Mobile,Web,5.8,0.688
I000025900,2023-08-05,C007800,P002331,Inquiry,Mobile,Web,1.8,0.44
I000025901,2024-11-23,C002888,P004242,Save,Desktop,App,10.4,
I000025902,2023-08-09,C006177,P000008,Visit,Mobile,App,4.9,0.594
I000025903,2022-11-23,C007338,P001574,View,Mobile,App,6.4,
I000025904,2023-01-23,C007213,P001910,View,Desktop,Web,15.1,
I000025905,2023-02-20,C001059,P003277,View,Desktop,Web,12.2,
I000025906,2024-10-10,C007249,P001710,Call,Mobile,Web,8.7,
I000025907,2024-08-28,C000392,P001402,Inquiry,Desktop,Web,4.3,-0.41
I000025908,2023-10-20,C004789,P000973,View,Mobile,App,7.0,
I000025909,2024-10-08,C001549,P002925,Call,Mobile,App,4.2,0.06
I000025910,2024-03-03,C001073,P004139,Inquiry,Mobile,App,5.3,0.716
I000025911,2024-09-20,C004252,P002494,View,Desktop,App,6.2,
I000025912,2024-07-13,C004532,P003098,View,Mobile,App,8.4,
I000025913,2024-11-30,C002125,P001756,Save,Mobile,Web,15.3,
I000025914,2024-08-19,C004023,P003092,Visit,Mobile,Web,7.5,0.374
I000025915,2023-02-18,C007949,P001888,Call,Mobile,Web,12.3,0.022
I000025916,2024-07-12,C002004,P003725,Call,Desktop,Web,2.6,0.52
I000025917,2024-02-15,C007254,P003057,View,Desktop,App,5.3,
I000025918,2024-12-22,C002469,P003057,Visit,Mobile,Web,3.4,0.037
I000025919,2023-06-12,C000650,P003117,View,Desktop,App,12.7,
I000025920,2022-11-06,C002878,P002265,View,Mobile,Web,4.9,
I000025921,2023-06-03,C007173,P001240,Call,Desktop,Web,6.0,-0.252
I000025922,2024-06-14,C005762,P001261,View,Desktop,App,14.6,
I000025923,2024-10-03,C002023,P004023,View,Mobile,Web,10.5,
I000025924,2024-07-08,C001860,P002456,Call,Mobile,App,4.1,
I000025925,2024-02-03,C000636,P000095,Save,Mobile,Web,14.7,
I000025926,2022-11-30,C002011,P000793,View,Mobile,Web,6.7,
I000025927,2022-06-21,C005303,P004302,Inquiry,Mobile,App,19.7,-0.519
I000025928,2022-11-08,C005057,P004069,Inquiry,,Web,21.6,0.128
I000025929,2023-11-09,C000300,P001210,View,Mobile,App,7.1,
I000025930,2023-09-22,C000461,P002399,View,Mobile,Web,24.5,
I000025931,2025-01-11,C000163,P002956,Inquiry,Mobile,App,6.9,-0.033
I000025932,2022-06-11,C004016,P003579,Inquiry,Mobile,Web,4.8,-0.264
I000025933,2024-06-07,C003075,P000911,View,Mobile,App,11.4,
I000025934,2023-10-19,C003470,P000297,Save,Mobile,Web,4.5,
I000025935,2024-10-21,C004307,P004315,Visit,Mobile,App,9.4,0.379
I000025936,2023-04-20,C005199,P000226,View,Mobile,App,2.1,
I000025937,2023-06-02,C003899,P002402,Visit,Desktop,App,10.0,-0.285
I000025938,2022-12-21,C006530,P000993,Inquiry,Desktop,Web,5.0,0.145
I000025939,2022-04-27,C002460,P000584,Save,Mobile,Web,16.1,
I000025940,2024-09-19,C001719,P004449,View,Desktop,Web,11.2,
I000025941,2023-09-25,C001859,P003811,Call,Mobile,Web,2.6,0.016
I000025942,2024-04-09,C006059,P002691,Offer,Mobile,App,5.5,0.458
I000025943,2023-03-01,C004326,P004221,View,Mobile,App,12.7,
I000025944,2024-01-04,C004821,P003368,View,Mobile,Web,5.6,
I000025945,2025-01-01,C007184,P003529,View,Mobile,Web,6.8,
I000025946,2023-08-21,C002944,P001768,View,Mobile,App,9.2,
I000025947,2023-07-23,C005236,P000420,Offer,Desktop,Web,3.2,0.426
I000025948,2024-03-07,C000257,P003571,View,Mobile,Web,5.5,
I000025949,2024-08-02,C003134,P000978,Call,Mobile,Web,5.6,0.579
I000025950,2024-04-02,C004819,P000936,Save,Mobile,Web,9.6,
I000025951,2023-11-08,C005529,P004149,Visit,Desktop,Web,10.9,-0.19
I000025952,2023-09-19,C002847,P004470,View,Mobile,Web,4.5,
I000025953,2022-12-04,C001585,P003809,Save,Desktop,App,5.0,
I000025954,2023-06-26,C003124,P002742,Visit,Desktop,Web,5.6,
I000025955,2023-11-09,C004536,P001078,View,Mobile,Web,11.1,
I000025956,2023-12-12,C006515,P004384,Visit,Mobile,Web,4.0,0.005
I000025957,2023-04-04,C002903,P002314,Save,Desktop,App,5.6,
I000025958,2023-12-31,C006894,P002231,Call,Mobile,App,7.3,0.105
I000025959,2022-11-01,C002619,P002126,View,Desktop,Web,12.6,
I000025960,2024-07-25,C000369,P004332,View,Mobile,Web,5.4,
I000025961,2023-03-31,C007778,P004324,Save,Mobile,Web,5.1,
I000025962,2023-12-09,C001935,P000783,Call,Mobile,Web,13.4,0.312
I000025963,2024-11-08,C007256,P001862,View,Desktop,Web,7.1,
I000025964,2024-09-20,C003529,P002078,Inquiry,Mobile,Web,23.3,
I000025965,2024-03-20,C006955,P001502,Call,Mobile,App,8.0,0.633
I000025966,2024-06-13,C001599,P002604,Save,Desktop,Web,11.5,
I000025967,2024-07-19,C002107,P004033,Call,Mobile,Web,12.1,-0.015
I000025968,2023-03-24,C006884,P004421,Visit,Mobile,App,11.8,-0.025
I000025969,2024-12-08,C000551,P003506,Save,Mobile,Web,4.9,
I000025970,2022-12-19,C001620,P003429,Inquiry,Mobile,Web,13.5,0.142
I000025971,2024-11-30,C003740,P001587,Call,Mobile,App,13.9,0.464
I000025972,2024-10-18,C003490,P004016,Call,Mobile,App,9.0,
I000025973,2024-07-03,C003835,P001428,Inquiry,Desktop,Web,6.3,-0.236
I000025974,2024-02-19,C002578,P003806,Visit,Mobile,Web,6.1,0.009
I000025975,2023-06-14,C006557,P003840,Save,Mobile,Web,4.1,
I000025976,2024-11-14,C003347,P003536,Visit,Mobile,Web,9.3,0.131
I000025977,2024-10-31,C007160,P003898,View,Mobile,App,11.8,
I000025978,2022-03-28,C007459,P004276,Inquiry,Desktop,App,9.6,-0.705
I000025979,2023-01-18,C002969,P003081,Inquiry,Mobile,App,4.7,0.284
I000025980,2024-10-26,C003125,P000788,Call,Mobile,Web,6.6,-0.101
I000025981,2024-12-15,C000571,P003061,View,Mobile,Web,6.9,
I000025982,2024-02-21,C003566,P000978,View,Desktop,App,10.2,
I000025983,2024-05-13,C006610,P002489,Inquiry,Mobile,Web,5.7,0.551
I000025984,2022-10-28,C004422,P003972,View,Mobile,App,13.9,
I000025985,2024-03-07,C004670,P003929,View,Desktop,App,10.2,
I000025986,2024-05-16,C006291,P002353,View,Desktop,App,9.0,
I000025987,2024-08-23,C000509,P004035,View,Desktop,Web,6.3,
I000025988,2024-05-24,C006255,P001576,Save,Mobile,Web,4.7,
I000025989,2024-07-30,C004203,P002584,View,Mobile,App,13.3,
I000025990,2023-07-11,C000855,P001415,Save,Mobile,App,15.7,
I000025991,2023-05-01,C000161,P004099,Visit,Mobile,Web,6.6,0.863
I000025992,2023-08-27,C001125,P000341,Save,Mobile,Web,5.6,
I000025993,2024-01-18,C003846,P002671,View,Desktop,App,6.1,
I000025994,2024-08-12,C003193,P000585,Visit,Mobile,Web,4.4,0.492
I000025995,2024-01-10,C001185,P001510,Visit,Mobile,App,8.2,0.527
I000025996,2024-03-26,C001564,P004478,Visit,Mobile,Web,7.1,-0.802
I000025997,2023-02-05,C004873,P001903,View,Mobile,App,3.9,
I000025998,2024-06-03,C002816,P001976,View,Desktop,Web,3.4,
I000025999,2022-10-27,C003878,P000990,View,Desktop,Web,1.1,
I000026000,2024-07-15,C004382,P002292,View,Desktop,Web,11.8,
I000026001,2023-10-25,C004218,P004103,Inquiry,Mobile,Web,7.9,1.0
I000026002,2024-07-04,C003120,P003847,View,Mobile,Web,5.6,
I000026003,2023-05-12,C001353,P004029,View,Mobile,Web,15.6,
I000026004,2023-06-21,C000226,P000121,Call,Mobile,Web,6.0,0.154
I000026005,2022-10-27,C002168,P002568,View,Mobile,Web,9.7,
I000026006,2022-10-27,C007780,P002237,Inquiry,Desktop,App,3.3,0.133
I000026007,2024-09-17,C000181,P002356,View,Desktop,App,8.7,
I000026008,2024-08-12,C000332,P001794,Inquiry,Desktop,App,9.4,0.073
I000026009,2023-02-15,C005749,P003793,Save,Mobile,Web,5.9,
I000026010,2022-07-23,C004442,P000088,Save,Desktop,Web,11.5,
